longitude,latitude,commune_insee,description
4.798528031,45.810103986,69194,Rond point ultra central où les trois modes (piéton vélo motorisé) se croisent
4.911482974,45.73221465,69029,pas de piste cyclable sur axe principal de la ville
4.905516924,45.734635748,69029,"détour de la piste cyclable, pour ensuite traverser un grand axe sans vision claire de la priorité pour les voitures"
4.928826141,45.740639618,69029,pas de piste cyclable sur grand axe menant à zone d'activité
4.88631177,45.768401909,69266,
4.891465368,45.767446993,69266,
4.895125283,45.766780781,69266,
4.809681504,45.717475085,69149,Pont d'Oullins
4.861211631,45.757142866,69123,
4.853312226,45.752700254,69123,"Zone de travaux, pas d'itinéraire bis"
4.866875592,45.754338892,69123,"Travaux, très dangereux à vélo"
4.859641777,45.770302577,69123,
4.821493295,45.751779275,69123,En direction de la montée de choulans
4.800471821,45.853868732,69153,Feu non respecté 
4.793263382,45.848677689,69153,Pas de bande cyclable 
4.788987189,45.857868059,69153,Pas de bande cyclable ou itemineraire vtc vtt
4.910722957,45.735678556,69029,2 cas d'incivilités à cet endroit 1) Quand arrivée depuis la rue Ailloud pour aller sur la rue Curie (voie vélo en contresens). Les voitures qui arrivent de la rue Curie pour tourner Av Camille Rousset ne nous voient pas arriver et klaxonnent alors qu'on est au bon endroit.2) sur l'av Rousset direction Eglise - je me mets sur la gauche pour tourner à gauche sur rue Curie et prendre la voie vélo à contre-sens - voiture qui me double par la gauche violemmalors que j'ai le droit de tourner à gauche
4.88521248,45.758084918,69266,Tourne à gauche sur Jules Grand Clément difficile pour les cyclistes après la montée Antonin Perrin
4.842948599,45.755298751,69123,Tourner à gauche depuis le Cours Gambetta vers le Cours de la Liberté signifie se retrouver au milieu d'un double flux de voitures : ce n'est pas du tout sécurisant.
4.769180574,45.769129436,69081,Revêtement route abîmé avec des fissures
4.83942404,45.817984823,69063,
4.837053083,45.818839514,69063,
4.841095679,45.818996147,69063,
4.756738972,45.783533598,69081,"très désagréable - vehicules qui ""collent"" dans la montée, ce passage a pourtant été aménagé recemment :(  
il n'y a pas de voie dédiée vélo"
4.773144499,45.763948849,69244,Il faudrait pouvoir remonter cette cote sinon cela nécessite un détour énorme en vélo ou passer par des routes dangereuses
4.908631367,45.733613063,69029,
4.905499892,45.734657623,69029,
4.90515892,45.734807881,69029,
4.903199309,45.735401778,69029,Voiture qui grille des stop régulièrement. Faire attention +++
4.905029998,45.735437771,69029,"Rond point problématique.
Pas de poste cyclable et voiture qui ne cédé pas la prioritée"
4.853589196,45.749039938,69123,Le changement de coté de la piste cyclable est pas clairement indiqué pour l'instant peut-être
4.807550173,45.776683023,69123,"avec la trémie, la signalisation est étrange qd on ne connait pas les lieux"
4.924247545,45.72390979,69029,franchissement a43
4.934375954,45.720616439,69290,Franchissement A43
4.922721346,45.746957813,69029,Travaux sans gestion des vélos
4.869587531,45.752789338,69123,"Absence de voie cyclable, aucune signalétique, anarchie du carrefour"
4.850917487,45.752587981,69123,Les cyclistes ne font pas attentions aux signalétiques 
4.842937388,45.755978701,69123,Cours Albert Thomas 
4.834174954,45.74449221,69123,Tout l’espace gerland 
4.89417205,45.77951285,69266,Pour rejoindre la soie à vaulx en vélin depuis Villeurbanne ( l’enfer )
4.779299307,45.781043456,69081,Route de champagne 
4.778960172,45.777943001,69081,Avenue Édouard aynard
4.778855208,45.774562668,69081,Routes principales Écully et ce croisement au centre 
4.765324192,45.729969114,69089,"Forte pente, route très étroite"
4.84757417,45.834807412,69088,Croisement où la piste cyclable n'est pas indiquée. Les voitures nous découvrent toujours au dernier moment.
4.849579457,45.833682054,69088,La plupart des voitures grillent le stop et ne regarde pas à gauche si un vélo arrive. Je me suis faite agressée à cet endroit.
4.89764633,45.752703004,69123,Travaux pas d'itinéraire bis
4.829667362,45.781109729,69123,
4.834503108,45.762178145,69123,
4.826879956,45.761995305,69123,
4.879848128,45.746305359,69123,
4.830620742,45.755220608,69123,
4.850537165,45.750763162,69123,
4.834041111,45.844899535,69168,Pont étroit 
4.806489986,45.714183682,69149,Grande rue
4.800146847,45.719770572,69149,Boulevard Emile Zola
4.823512501,45.6950307,69149,Chemin des Mûriers
4.858991297,45.747222261,69123,Rupture de continuité cyclable si l'on veut aller tout droit 
4.860459805,45.749429502,69123,Virage à gauche en direction de la manufacture des tabacs obligeant à s'arrêter au milieu d'une piste cyclable étroite 
4.879319477,45.742873882,69123,
4.781579496,45.764011978,69244,refus de priorité voie cyclable
4.792024698,45.773078808,69244,stationnement sauvage de la part des utilisateurs des garages et des hôtels. la bande cyclable est prise pour du parking ou du déchargements (concessionnaires)
4.885504418,45.760519781,69266,
4.933728658,45.720432416,69290,Passage du pont au dessus de l’a43
4.923528747,45.72487007,69029,Passage du pont au dessus de l’a43
4.952378577,45.709068316,69290,Passage du pont au dessus de l’a43
4.915482184,45.731347261,69029,Pas de piste cyclable
4.834685131,45.844911279,69168,Pont de couzon
4.825762932,45.846285155,69068,Montée Georges Lyvet trop pentue
4.828815818,45.839984502,69233,Tunnel sous la voie ferrée entre couzon et St romain 
4.863024098,45.77045769,69266,"Place de Charpennes, en travaux depuis plusieurs mois avec des itinéraires cyclables mal représentés et de nombreux conflits"
4.811632221,45.736098411,69142,
4.814932598,45.727263495,69142,
4.813316887,45.728281424,69142,
4.882602327,45.707046259,69259,"pas de piste cyclable (rue étroite) , les voitures frollent les cyclistes a des vitesses excessives"
4.865761299,45.705710584,69259,rue gabriel peri (et parmentier) + avenue de la république : en travaux. pas de piste cyclable et très inconfortable (trous et bosses) attention carrefour dangereux devant l'école primaire de la rue parmentier
4.849862229,45.679062597,69276,Rond-point Boulevard urbain sud
4.861066967,45.685553202,69276,Rond point nationale 7 / BUS
4.849998385,45.671639025,69276,Rond-point Jean-Jaurès / 11/11/1918
4.811814223,45.727869194,69142,Limitations de vitesse non respectée. Pas de piste ni de voie cyclable 
4.815046404,45.72748877,69142,Extrêmement dangereux.tres fréquenté . Impossible à éviter. Non aménagé 
4.834269599,45.844644716,69168,Pont de couzon/ Rochetaillée 
4.891199387,45.755924152,69266,Travaux tramway 
4.876612433,45.776880423,69266,Travaux tramway 
4.871354104,45.763521739,69266,Rue étroite 
4.858943566,45.756979207,69123,Travaux 
4.855849407,45.765989382,69123,Rond point combiné avec des feux. Personne ne respecte les priorités
4.852378539,45.763411529,69123,"Pas de double sens cyclable, mais tout le monde le fait."
4.854528274,45.769739923,69123,
4.903078137,45.73542597,69029,
4.891831404,45.73931447,69123,Beaucoup de croisements 
4.906243731,45.735179667,69029,Voie cyclable pas assez large
4.916086362,45.748658775,69266,avec les travaux il n'y a plus de piste cyclable
4.904017927,45.751746241,69029,"route trop étroite, circulation, travaux"
4.906862585,45.739016612,69029,"circulation, les voitures sortent du périphérique et roulent vite"
4.799443418,45.709747618,69149,Véhicule à vitesse effrayante parfois à plus de 100 km/h
4.799654981,45.710025231,69149,Pas de piste cyclable aménagée et carrefour dangereux 
4.815425708,45.729361978,69142,Complètement inadapté et dangereux dans les 2 sens
4.838539796,45.772615826,69123,
4.840823797,45.772405026,69123,
4.849519252,45.773044255,69123,
4.840238508,45.756219322,69123,Impossible de tourner à gauche en venant de la place Bellecour 
4.836800752,45.752029971,69123,La bande cyclable sur le trottoir du pont de l’université est dangereux car très étroit et partagé avec les piétons. 
4.825669023,45.757400681,69123,La piste cyclable sur le trottoir est très dangereuse car les piétons et les cyclistes cohabitent: les cyclistes ne laissent pas la priorité aux piétons. 
4.905430208,45.734745503,69029,rond point
4.846030453,45.829579867,69063,Passage à niveau condamné pour le piétons et vélo à cause de sa dangerosité. Obligation de faire un énorme détour ou de prendre le pont Pasteur très raide 
4.729358356,45.75886982,69205,"Stop non respecté et manque de visibilité à l'arrivée de la piste cyclable au carrefour, suivi d'un rétrécissement, pas de tracé au sol de la piste, ce qui la matérialiserait pour les automobilistes "
4.861692508,45.770349653,69123,A voir apres la fin des travaux mais tous les carrefours pres de charpennes restebt dangereux
4.835833517,45.789963508,69034,Aucun espace cycliste dédié. Fossé vers le caniveau 
4.743879762,45.756890398,69244,Pas de voie cyclable et dangerosité avec les véhicules motorisés 
4.737010339,45.771390682,69244,Pas de voie cyclable et dangerosité avec les véhicules motorisés 
4.865445807,45.74538403,69123,Travaux sur l’avenue des freres lumière
4.72819011,45.75975042,69205,
4.723502743,45.75417629,69205,
4.741767636,45.757758001,69205,
4.840327107,45.756178194,69123,
4.833626644,45.747722874,69123,"Dur à traverser en vélo, nécessite de traverser de voies pour véhicule et une voie de tram"
4.829039562,45.748382176,69123,Traverser Perrache est une galère
4.855973447,45.759483403,69123,carrefour
4.842623553,45.759238945,69123,
4.842623553,45.759238945,69123,"lors du passage tramways, un bouchon d'autos se forme et interdit le passage des vélos qui zig zag entrent les voitures"
4.737187713,45.771554247,69044,Meginand
4.741448234,45.757717883,69205,Déchèterie
4.720711446,45.753272624,69069,Craponne
4.820349406,45.801488976,69123,Pas assez de place et pas d'itinéraire alternatif sur cette partie de la montée
4.808496372,45.791155148,69194,Pas de voie vélo dédiée malgré le nombre important de vélos
4.800332603,45.818942282,69194,Route avec de nombreux vélos / promeneurs non sécurisée
4.799679289,45.81035553,69194,Sens interdit sans autorisation vélo
4.861200496,45.757059962,69123,
4.861200496,45.757059962,69123,
4.927609201,45.72694232,69029,"Franchissement de l'autoroute A43 difficile et dangereux , un seul pont aménagé sur toute la commune pour le franchissement de l'A43 tous les autres passages sont dangereux "
4.905119789,45.734550689,69029,Un rond point dangereux en attente de travaux depuis plus de 20ans 
4.906409142,45.744706314,69029,Seulement 2 possibilités pour franchir le périphérique . 2 passage assez dangereux et aucune passerelle mode doux 
4.860389272,45.749370419,69123,passage entre 2 files voitures + passages piéton = refus de priorité 
4.86709779,45.746877112,69123,pas de voie cyclable + voie cyclable en contresens n'a pas la place de passer. Nombreux embouteillages avec personnes énervées au volant de leur véhicule motorisé. Des passages récurrents de scooter sur les trottoirs en contre-sens.
4.865321741,45.745378324,69123,Pas d'accès cyclable sécurisé entre piétons et véhicules motorisés (forte affluence).
4.737911023,45.77127545,69244,le matin les voitures sont bloquées par la circulation et il n'y a pas de pistes cyclable
5.028078481,45.789355078,69282,
4.977195411,45.77238849,69275,
4.930484321,45.693697305,69290,"toute la rue est très dangereuse, une voie de circulation vélo dans une rue parallèle est toujours occupé par les voitures"
4.936287793,45.699317685,69290,toute la rue
4.941246632,45.702112062,69290,toute la rue passage etroit
4.888955536,45.778963503,69266,Stationnement gênant sur bande cyclable obligeant les cycles à prendre des risques
4.880684649,45.769350908,69266,Circulation sécurisée liée aux travaux du tram T6
4.874898023,45.776725761,69266,Absence de bande cyclable sur cette portion de rue depuis 1 an
4.846421744,45.770594768,69123,
4.857930204,45.762168361,69123,
4.844581321,45.752280973,69123,
4.726663553,45.757632631,69205,
4.841753236,45.786959011,69034,Rue partagée entre voiture bus et velo
4.849853167,45.796832166,69034,Carrefour dangereux
4.839867406,45.875984134,69143,Circulation toujours chargée. Deficit en piste cyclable.
4.816018585,45.816070713,69191,Route de Saint cyr
4.88501319,45.781104514,69266,Avenue Roger sale grosse pire du monde à velo
4.838490688,45.756797957,69123,Pas dingue les changements de direction sur le pont
4.849829046,45.74268438,69123,Toute l’avenue Berthelot à partir d’ici jusqu’à la maison de la danse Lyon 8
4.869438745,45.736484272,69123,
4.926766724,45.72555658,69029,trop dangereux d'accès depuis Lyon
4.912410257,45.732347083,69029,Axe sans voie cyclable
4.916231557,45.728437577,69029,Axe sans voie cyclable
4.872670179,45.755202272,69123,Dangereux à cause des travaux ; portion cyclable inexistante dans un sens
4.834381282,45.762584217,69123,une vraie piste cyclable traversant la presqu'île serait apprécié
4.83302266,45.772225094,69123,Faciliter la montée à vélo pour ceux non-électriques
4.721212571,45.752306627,69069,"Aucun aménagement sur Craponne après avoir passé le pont,  rue Gladel"
4.734612281,45.767173234,69205,"Pour quitter le village en direction du lycée de Charbonnières, chemin de Chante-Ruisseau "
4.85697031,45.750450181,69123,"en venant du cours Gambetta (voie partagée bus et vélo) pour tourner rue de l'Abbé Boisard : très dangereux, il faut se déporter sur la droite pour se sécuriser et attendre que le feu passe au rouge pour tourner (en face : 3 files de voitures/bus)."
4.8012171,45.806516487,69194,Toute l'énergie l'avenue Pasteur
4.795679302,45.809657027,69194,
4.803172013,45.807797105,69194,Non respect du sens unique par les voitures
4.797190502,45.801384592,69194,
4.790300216,45.806447878,69194,Les voitures en montée sont très pressées et le chemin ne permet pas de cohabiter
4.791616643,45.808543664,69194,"beaucoup de traffic (vitesse si circulant), pas d'espace réservé vélo."
4.792552186,45.802911455,69194,"etroit, noir la nuit (hiver), trous (roue pliée en novembre en serrant trop à droite pour laisser les voitures passer). "
4.770557129,45.805295421,69072,"beaucoup de circulation, aucun aménagement"
4.800424,45.800898211,69194,Voie en sens unique non accessible aux vélos 
4.816593371,45.801719781,69191,Voie sens unique voiture non accessible au vélo 
4.809138296,45.805843139,69194,Les voitures roulent trop vites et c’est dangereux quand on arrive dans l’autre sens en vélo ou à pied.
4.903931523,45.735230538,69029,Risque lié à l'accès de la bretelle du périphérique par les VL
4.91676281,45.737083498,69029,Absence de voie cyclable. Voie étroite avec les VL
4.908251211,45.733590073,69029,Absence de voie cyclable
4.803644995,45.800598884,69194,Non protégé 
4.791285589,45.805072632,69194,Non protégé 
4.79960442,45.818988663,69194,Non protégé 
4.881226512,45.743451209,69123,
4.872098022,45.744522534,69123,
4.863660728,45.755929448,69123,
4.81659907,45.814594249,69191,
4.725706595,45.748857753,69069,
4.741592469,45.750215113,69069,
4.718412061,45.745237966,69069,
4.742820104,45.864889952,69117,Piste cyclable incomplète 
4.804329332,45.794004256,69194,Vitesse des voitures
4.808749656,45.791906596,69194,Croisement dangereux
4.831626212,45.784220565,69034,traversée récente imposée aux velos
4.838198115,45.785577174,69034,toute la rue de Margnolles jusque là piscine est dangereuse en raison de la vitesse des voitures ET motos
4.84075275,45.783714547,69034,stationnement sauvage aux heures d'école en sortie de virage !
4.798468482,45.811485171,69194,
4.816341959,45.8170696,69191,
4.804837192,45.793725833,69194,
4.846927309,45.753891282,69123,gros carrefour
4.841955752,45.745343283,69123,"carrefour avec beaucoup de voitures, de passages piétons, passage du tram"
4.875993372,45.776722435,69266,tram
4.881454681,45.769176807,69266,tram et circulation importante
4.885166389,45.758125331,69266,haut de montée avec feu...redémarrer en cote en velo...faire un feu velo sur du plat
4.830122577,45.887797154,69278,Les voitures arrivent très vite de la route de Trevoux
4.838697467,45.896985034,69278,La chaussée est en très mauvais etat
4.892493026,45.739287638,69029,Virage sans visibilité très dangereux 
4.886727187,45.740889199,69123,"Auparavant dangereux car les vélos utilisaient le trottoir
Maintenant avec la piste cyclable= gain de temps "
4.878592251,45.777640555,69266,"pas de bande cyclable, pas de PC, chaussée étroite"
4.797377549,45.814182611,69194,"Toute la descente, au milieu des voitures qui vont vite"
4.815133261,45.882534618,69207,Forte circulation a vitesses élevées 
4.79015177,45.882027395,69207,Aucune piste cyclable et circulation rapide sur route étroite 
4.803696822,45.881218209,69207,Passage alterné en monté non respecté par les voitures 
4.878530635,45.743098188,69123,Rond point mal fait pour les vélos 
4.90103819,45.765550165,69266,Carrefour mal fait 
4.898732891,45.758227505,69266,Pas de piste cyclable 
4.838549109,45.756663329,69123,pont de la guillotière
4.808124692,45.756686281,69123,pas de piste cyclable sur cette rue
4.866655656,45.771504443,69266,travaux en cours et énormément de circulation le matin. itinéraires bis difficiles avec un vélo - charriot (sens uniques autorisés pour les vélos mais très étroits et stressants)
4.860968649,45.770269337,69123,très densément circulé
4.791116466,45.796337383,69040,
4.772437228,45.730979858,69089,
4.799100455,45.795389414,69194,"Chemin des rivières - serein depuis sa fermeture mais macadam dangereux, nids de poule... mais fréquentation accrue mainteant que les voitures n'y passent plus."
4.803292378,45.807358925,69194,"Chemin du colin - voitures vont vraiment trop vite pour ""court-circuiter"" l'avenue pasteur"
4.799895709,45.800938344,69194,Rivières-Chevrotiere - trop de voitures arrivent très vite depuis les rivières (70km/h) + possible de mettre ce passage dans les deux sens pour les vélos ?
4.938346647,45.775440722,69256,
4.933314772,45.766749623,69256,
4.927084832,45.749196161,69256,
4.904276927,45.735504242,69029,Rue residentielle avec peu de visibilité dans les virages. Il serait plus simple d'améliorer la piste cyclable actuelle jusqu'au rond point de la boutasse
4.866473205,45.745010121,69123,Travaux rendant impraticable l'avenue
4.884675648,45.741444652,69123,passage de la piste cyclable à droite puis à gauche en plein montée
4.857417952,45.763614042,69123,Carrefour voiture/vélo qui dysfonctionne du point de vue des séquences de feux
4.880017069,45.776220935,69266,"Absence de bande cyclable, ce qui rend le cheminement vers les parcs (Feyssine / Tête d'Or) dangereux pour des jeunes enfants à vélo"
4.797464874,45.810749805,69194,Aucune piste
4.798481767,45.80908179,69194,Aucune piste
4.800450975,45.808027001,69194,Aucune piste
4.8217896,45.76088988,69123,pas de piste cyclabe
4.807063762,45.757709883,69123,pistes cycclabes non securisées
4.829736878,45.771325521,69123,pas de pistes cyclabes securisées
4.868851572,45.755649256,69123,
4.747959185,45.756944164,69244,
4.752587341,45.758527931,69244,
4.758443145,45.758089062,69244,
4.915768797,45.731247388,69029,"pas de piste cyclabe et beaucoup de voiture
"
4.917615945,45.73070084,69029,carrefour dangereux avec les voitures et ligne de tram
4.911561746,45.732539749,69029,
4.776142773,45.770977818,69081,
4.778961121,45.777756561,69081,
4.780214297,45.782445179,69081,
4.82773061,45.814703415,69191,
4.82652091,45.814809415,69191,
4.838591966,45.811825455,69063,
4.915114358,45.731319686,69029,
4.905252871,45.734671793,69029,
4.892384738,45.738962435,69029,
4.909253043,45.733437022,69029,Pas de piste cyclable et interdiction de rouler sur rail de tram
4.926495577,45.726009065,69029,Pour aller jusqu’à Auchan c’est dangereux
4.92403988,45.724961177,69029,
4.802425638,45.802972797,69194,
4.797925004,45.810274537,69194,
4.81712591,45.802247105,69191,
4.860440582,45.749380197,69123,"Trop de passage: piste cyclable (au milieu de 3 voix routières), piétons, autre piste cyclable perpendiculaire, feux mal placés... trop d'info donc personne ne respecte."
4.873276414,45.739151862,69123,"Piste au milieu de la route, voiture de deportant pas assez de nous "
4.844901138,45.744309503,69123,Pas de piste cyclable complete tout le long des voies de tram de perrache à bachut 
4.834786256,45.87077437,69003,
4.842689657,45.755223143,69123,Carrefour dangereux
4.882897233,45.74209709,69123,Voitures utilisant la piste cyclable pour se garer 
4.897561111,45.737400759,69029,Partage de la voie avec les piétons à risque 
4.819221383,45.81134535,69191,Voitures qui roulent trop vite
4.821861014,45.807642744,69191,Chicane hyper dangereuse 
4.825254407,45.814958629,69191,Voitures qui dépassent sans visibilité 
4.832703927,45.769074442,69123,Contresens sur rue très étroite avec des passages pavés disjoints
4.835728149,45.768436219,69123,Cohabitation piétons/vélo/véhicules difficile
4.86169943,45.759074912,69123,La piste cyclable sert de dépose minute 
4.850708743,45.752597243,69123,"En venant du Rhône vers le sud-est, les vélos sont sur la voie des bus sur le cours Gambetta et lorsqu'on veut tourner à gauche pour aller sur Félix Faure c'est toujours la galère."
4.848968206,45.753259829,69123,En étant sur Gambetta sur la voie des bus pour aller vers le sud-est et qu'on veut tourner sur la place Aristide Briand/rue de l'abondance
4.842899291,45.755328099,69123,Difficile de tourner lorsqu'on se trouve sur cours Gambetta
4.936089891,45.689010039,69290,Aucune place pour les vélos pour rejoindre la gare
4.859709348,45.779691086,69266,La piste cyclable est en conflit avec la voie des bus et le trottoir piéton 
4.875675165,45.796525722,69034,Beaucoup de voitures qui vont vite et pas de piste cyclable
4.880473616,45.769845816,69266,Piste cyclable dangereuse
4.891083402,45.767472158,69266,Cours Emile Zola de visser à charpennes  : Piste cyclable dangereuse . Piste encombrée par des stationnements et arrêts gênants.
4.912913433,45.732098818,69029,Pas de piste cyclable 
4.916456705,45.728988748,69029,
4.910390985,45.725462228,69029,
4.831394523,45.875007446,69003,Fort trafic et virage
4.827437021,45.87875899,69071,
4.821277944,45.871620313,69071,Voies de circulation étroites+ traversée dangereuse 
4.956620878,45.770365263,69275,Pas de piste cyclable 
4.960083224,45.76879406,69275,Route abîmée 
4.90517832,45.734772815,69029,
4.903770986,45.735368486,69029,
4.911887094,45.732480959,69029,Toute l'avenue Franklin roosvelt
4.916914234,45.729041682,69029,Touté cette avenue jusqu'à parilly
4.906386331,45.726455226,69029,Toute l'avenue qui longe parilly
4.830126452,45.875176918,69003,Mérite un M12 tourné à droite
4.881400685,45.779356132,69266,Grosse avenue encore non aménagée
4.86041774,45.786795043,69266,pont indiqué comme cyclable sur les différentes sites de cartographie (komoot par exemple) alors qu'aucun aménagement prévu en direction du nord 
4.842918785,45.744879364,69123,"un enfer, toujours aucun aménagement de prévu dans les 2 sens "
4.858673261,45.7571861,69123,travaux part dieu...qui seront binetot termines !
4.798606791,45.719864175,69149,Pont blanc .. quelle idée de diminuer la route et de mettre une piste cyclable avec un rebord dangereux en cas de chute ?? Rétrécissement des voies de circulation dangereux pour les vélos et les véhicules !!! Nul !!! Avant chacun avait de la place et les voitures pouvaient doubler les vélos en respectant les 1m50 de distance !!! 
4.790263856,45.807161413,69194,Travaux 🚧 
4.856160485,45.753297558,69123,circulation très dangereuse pendant la réalisation des travaux sur l'avenue Félix Faure
4.827485129,45.878816733,69071,rejoindre la rue du pontet depuis la route départementale sur laquelle les véhicules roulent très vite
4.835315915,45.876786437,69003,rond-point et pont de neuville très dangereux pour les cyclistes.
4.826975545,45.876995507,69071,Les voitures qui descendent roulent beaucoup trop vite
4.860972565,45.749167135,69123,Croisement piste cyclable et voie de circulation
4.852227269,45.752133865,69123,
4.878962726,45.74327226,69123,"Voie cyclable au milieu du traffic, voiture à gauche, bus à droite"
4.736426887,45.744315205,69069,Automobile ne respectent pas le Stop
4.723464592,45.745873971,69069,Automobile ne respectent pas le Stop
4.746229017,45.747358667,69069,Intersection difficile en vélo
4.866005215,45.772319408,69266,
4.900848095,45.760257508,69266,
4.808232805,45.774947162,69123,
4.791921292,45.878621638,69207,Voie trop étroite et vitesse trop élevée des voitures pour circuler avec enfants en sécurité
4.82287094,45.809101135,69191,Danger entre le lycée et st cyr
4.803788359,45.800828899,69194,
4.831564765,45.845459965,69068,Rue étroite et croisements de tous côtés 
4.781368865,45.763863803,69244,"Impossible de doubler les voitures, les motos avant l'accès à l'horloge "
4.765286124,45.750492435,69244,Manque d'info pour aller en vélo sur la voie bus
4.757782637,45.747392407,69089,Dangereux en vélo 
4.797886342,45.812491153,69194,
4.803212801,45.80211226,69194,
4.909144281,45.733368502,69029,
4.929415763,45.738253273,69029,
4.923282451,45.738176312,69029,"Voie cyclable sur le trottoir, proximité piéton, croisement avec les arrêts de TC"
4.786920584,45.80017696,69040,"Trop étroit, bande inexistante "
4.792097273,45.795469588,69040,"Absence de piste, absence d'arceaux de stationnement "
4.79337625,45.802042377,69040,"Non respect du stop, croisement de voie cyclable et voiture sans priorité affichée, visibilite médiocre miroire avec bouée tous les matins"
4.797699328,45.853408655,69153,Revêtement endommagé dans le sens de la descente.
4.799900133,45.854307674,69153,une bande cyclable dans le sens de la montée plutôt que l'espèce de petit îlot pavé au milieu qui ne sert à rien ce serait bien mieux
4.976707055,45.736253851,69271,Travaux route défoncée 
4.824742213,45.811374307,69191,
4.82110353,45.814447897,69191,
4.826570601,45.813493368,69191,
4.842099144,45.801875969,69034,Quai où les voitures roulent très vite sans aucun aménagement pour les vélos
4.860413628,45.787363647,69034,Zone partagée avec les bus très problématique. Je me suis fait renversé une fois par un bus. Dépassement du cycliste par le bus quasi impossible sans créer un problème côté voitures... Donc problème côté cycliste.
4.841552646,45.800956485,69034,Aucun aménagement et vitesses monstrueuses
4.840337395,45.798508572,69034,"Aucun aménagement et soit :
En montée, les personnes en voiture doublent (trop près car manque de place) car différence de vitesses.
En descente, chaussée glissante avec des personnes en voiture qui arrivent vite dans le dos des personnes à vélo."
4.888358365,45.749431756,69123,Rétrécissement de la bande cyclable et voiture garé sur la bande cyclable 
4.894796241,45.74992398,69123,Suspension de la bande + passage pour piéton abscent ! Très dangereux et il y a des enfants qui passent 
4.892423845,45.749723944,69123,Rue en double sens alors qu il n’y a pas la place pour deux voitures - danger pour les vélos aussi 
4.801936362,45.81603477,69194,
4.808901384,45.807706679,69191,Très mauvais état de la route 
4.894833748,45.819610545,69286,Route étroite et très passante
4.884277209,45.809689073,69286,"Travaux qui rétrécissent la chaussée, bande cyclable annulee"
4.790111313,45.804083559,69194,Carrefour très dangereux pour emprunter le chemin des combes et descendre en ville
4.798061856,45.810062888,69194,Rond point vraiment dangereux à velo. bcp de trafic voiture et pas de voies securises
4.794298701,45.809697626,69194,Pas de zone cyclable pour nos enfants pour aller au college ou a l'ecole primaire
4.816144482,45.731315718,69123,Passage de la Mulatière 
4.866792056,45.773252872,69266,
4.745002954,45.756766463,69244,
4.720754536,45.750750825,69069,
4.710210337,45.759815211,69205,Pas de piste cyclable côté droit
4.857743124,45.740131756,69123,
4.858597466,45.739850502,69123,
4.833028679,45.7657575,69123,
4.883940694,45.764438915,69266,Carrefour difficile 
4.884994027,45.760908674,69266,Carrefour difficile 
4.74197541,45.757324983,69205,Pas de piste cyclable 
4.723000282,45.757905938,69205,Pas de panneau vélo a contre sens
4.796027235,45.809898616,69194,Liaison vers st didier au mont d'or 
4.786854431,45.787545655,69123,Liaison vers ecully
4.776123031,45.801958482,69040,Liaison vers zone d'activités
4.805479473,45.810414305,69194,Qualité du revêtement dangereuse pour les 2 roues
