insee,Réponses,Sécurité_Moy,Top_10_Problemes
69191,67,2.86,Vitesse excessive (22) | Infrastructure manquante (22) | Entretien pistes (21) | Stationnement gênant (5) | Violence routière (4)
69091,66,3.02,Vitesse excessive (19) | Infrastructure manquante (15) | Entretien pistes (15) | Stationnement gênant (4) | Violence routière (3) | Conflit piétons (2)
69273,65,3.52,Infrastructure manquante (29) | Entretien pistes (26) | Vitesse excessive (24) | Stationnement gênant (5) | Violence routière (2)
69276,64,3.54,Infrastructure manquante (26) | Entretien pistes (25) | Vitesse excessive (19) | Stationnement gênant (3) | Violence routière (3) | Carrefours dangereux (2) | Conflit piétons (2)
69199,62,2.64,Vitesse excessive (32) | Infrastructure manquante (14) | Entretien pistes (13) | Stationnement gênant (7) | Conflit piétons (1) | Violence routière (1)
69127,62,3.13,Vitesse excessive (24) | Infrastructure manquante (18) | Entretien pistes (16) | Stationnement gênant (4) | Violence routière (1) | Conflit piétons (1)
69283,61,3.25,Infrastructure manquante (25) | Entretien pistes (23) | Vitesse excessive (21) | Stationnement gênant (4)
69142,60,2.79,Vitesse excessive (40) | Infrastructure manquante (7) | Entretien pistes (6) | Stationnement gênant (3) | Violence routière (3) | Conflit piétons (2)
69293,58,2.15,Vitesse excessive (26) | Infrastructure manquante (21) | Entretien pistes (18) | Stationnement gênant (3) | Violence routière (2) | Carrefours dangereux (1)
69003,56,3.62,Infrastructure manquante (20) | Entretien pistes (19) | Vitesse excessive (12) | Stationnement gênant (4) | Carrefours dangereux (1)
69088,56,3.18,Vitesse excessive (28) | Infrastructure manquante (12) | Entretien pistes (11) | Stationnement gênant (6) | Conflit piétons (2) | Violence routière (2) | Carrefours dangereux (1)
69100,52,3.28,Infrastructure manquante (27) | Entretien pistes (23) | Vitesse excessive (12) | Stationnement gênant (4) | Violence routière (2) | Conflit piétons (1) | Signalisation (1)
"Violence physique alors que vous circuliez sur un espace partagé avec les véhicules motorisés""",51,,
69278,51,2.8,Vitesse excessive (27) | Infrastructure manquante (13) | Entretien pistes (12) | Stationnement gênant (2) | Violence routière (1)
69063,48,3.32,Infrastructure manquante (21) | Entretien pistes (20) | Vitesse excessive (11) | Stationnement gênant (4) | Conflit piétons (1) | Violence routière (1)
69071,48,3.59,Vitesse excessive (26) | Infrastructure manquante (9) | Entretien pistes (6) | Stationnement gênant (3) | Conflit piétons (3) | Violence routière (2)
69250,46,3.92,Entretien pistes (19) | Infrastructure manquante (19) | Vitesse excessive (10) | Stationnement gênant (4)
69046,40,2.56,Vitesse excessive (21) | Infrastructure manquante (13) | Entretien pistes (10) | Stationnement gênant (3) | Conflit piétons (1) | Violence routière (1)
69153,34,2.55,Vitesse excessive (10) | Infrastructure manquante (6) | Entretien pistes (5) | Stationnement gênant (2) | Violence routière (1)
69068,33,4.25,Stationnement gênant (10) | Entretien pistes (9) | Infrastructure manquante (9) | Vitesse excessive (7)
69116,33,2.42,Vitesse excessive (14) | Entretien pistes (6) | Infrastructure manquante (6) | Stationnement gênant (2) | Conflit piétons (1) | Violence routière (1)
69033,30,3.29,Entretien pistes (11) | Infrastructure manquante (11) | Vitesse excessive (10) | Violence routière (2) | Stationnement gênant (2) | Conflit piétons (1)
69117,27,,
69233,4,,
69260,2,,
69296,1,,
69163,1,,
69096,1,,
