description;commune;travaux_id_match;longitude;latitude
Des travaux partout. Les piétons n'ont pas de trottoir ils se retrouvent donc sur la piste cyclable qui est à contresens des voitures donc idem pour les vélos. C'est dangereux si on veut pouvoir les dépasser car on se retrouve à contres sens des voitures sans aménagements cyclables. Encore une fois la piste cyclable s'arrête face à une barrière de travaux on est obligés d'aller sur le même chemin que les piétons donc pas pratique. Et très dangereux le contre sens car les voitures roulent vite.;69123;158882;4.859056643;45.753612411
descente pas protégée;69088;177464;4.863039853;45.816886008
;69123;181612;4.823901926;45.730471012
Pour aller vers la Tassin, hyper dangereux de changer de route pour aller sur la piste cyclables. J'ai vu que des travaux étaient en cours. J'espère que cela nous aidera.;69244;180538;4.792160822;45.773139051
Tourner à gauche vers la place Ambroise Courtois depuis Albert Thomas en venant de Grange Blanche est dangereux. Il faut soit couper le trafic (2 voies) soit attendre le prochain feu;69123;179810;4.871490829;45.745468821
travaux en cours depuis de longs mois;69123;158882;4.868929709;45.754812421
;69256;165198;4.932274702;45.744330147
"";69266;155875;4.888951591;45.759953328
travaux avec pas de solution pour les vélos;69256;170406;4.920037701;45.777166365
Les travaux ont coupé l'itinéraire cyclable sans alternatives claires.;69029;135917|165198;4.898612875;45.752816925
"Lorsque je remonte la Rte de Gênas vers l'Est, je n'utilise pas la bande cyclable qui passe sur le trottoir. Le feu vélo pour retourner sur la route (sous le pont) est vert en même temps que celui des véhicules motorisés : l'insertion est dangereuse.
Je me sens plus en sécurité en restant sur la route pour traverser le carrefour et passer sous le pont.";69029;165198;4.907770138;45.750932027
Avenue Félix Faure en travaux, nombreux conflits avec les automobilistes;69123;158882;4.858392802;45.75355298
;69266;135904;4.890972303;45.756017959
;69123;158882;4.872154573;45.755187175
Rond point chiant, quand on arrive de Salengro et qu'on veut rejoindre la poste cyclable qui part au parc c'est compliqué, mais il y a des travaux, je pense que ça va changer;69266;176350;4.890738339;45.782887421
Toute la rue et le secteur en travaux, c'est nimp une voie éclatée (pour permettre le passage du tram et autres travaux de réfection de canalisations) qui peut, selon les panneaux, être remontée en contre sens à vélo mais est vraiment dangereuse. Surtout de nuit. La signalétique est pas claire;69266;134284;4.880557878;45.763275982
"";69266;155875;4.889783816;45.759665384
Toute l'avenue est ultra dangereuse;69123;158882;4.872865694;45.755177201
Piste cyclable dans le sens de la montée du cours marietton;69123;180538;4.793777995;45.77461216
Énorme carrefour;69123;115328;4.818097504;45.734127102
Croisement difficile avec les voitures avec les travaux;69123;158882;4.853483824;45.752987574
bouchon permanent et difficultés à circuler à vélo;69123;179810;4.871216024;45.745413815
;69123;158882;4.872437228;45.755086518
"L'aménagement de la connexion entre la voie cyclable de l'avenue Victor Hugo et la rue du bourbonnais est prometteur.

Toutefois la connexion avec Champvert reste ardue.

La montée de Montribloud est raide et nombre de chauffards ne s’y embarrassent pas de limites de vitesse ou de distances de sécurité. En montée comme en descente.

Je préfère la rattraper par le haut en contournant par l'avenue Victor Hugo et la rue de la Pépinière, mais elle y reste hostile et très roulante.";69244;180538;4.792547837;45.773427877
"";69266;158882|160582;4.876221112;45.755764892
Les vélos ne respectent pas souvent la priorité piétons, je pense à cause du droit de passage au feu rouge. Sensibiliser les cyclistes serait une bonne chose devant les stations de métro gratte-ciel.;69266;135939;4.880327969;45.769362824
Travaux, graviers...;69266;135939;4.880362848;45.770491206
Les voitures coupent régulièrement les priorités au vélo qui fond le tour du rond point;69266;176350;4.890376161;45.782996677
;69266;158882;4.877470058;45.754967138
"";69266;136952|155875;4.88885807;45.759106162
Voie étroite pour vélo en contresens pas du tout sécurisé entre voiture circulant et voiture garée;69123;179810;4.87043446;45.744007944
Toute la rue : travaux en cours et absence de mesures pour les vélos;69123;158882;4.880410126;45.75467971
Travaux;69123;158882;4.864902787;45.754378424
Travaux;69123;158882;4.856725137;45.753366921
La nuit, la piste cyclable au niveau de la gare de Tram de Villeurbanne n’est pas eclairée depuis plus d’un an. J’ai déjà fait un ticket a la métropole mais rien n’a changé. Ils sont en travaux depuis super longtemps. Et ils sont incapable d’eclairer cette zone la nuit pendant les travaux. C’est super dangereux la nuit car il y a une zone de melange entre usagers du Tram et cyclistes/trottinettes.;69266;135904;4.892857589;45.755926073
Avenue Félix Faure (travaux extrêmement longs et pistes cyclables temporaires pénibles);69123;158882;4.855614934;45.753210695
"";69123;158882|160582;4.875797396;45.75565172
"";69123;179810;4.867406892;45.744779106
Traversée des piétons et des cyclistes en 3 séquences qui sont mises bout à bout tellement longues !;69123;115328;4.818009469;45.734054245
"";69116;162326;4.776900619;45.812799599
Une fois la grande piste cyclable de route de Vienne quittée, les trajets sont très compliqué à St Fons.;69199;148425|182685;4.859644224;45.708027103
"";69040;162326;4.787179258;45.800028934
Le passage est trop étroit et utilisé par les pietons;69123;158882;4.862881214;45.754081077
Travaux en cours et mauvaise communication+ voirie défoncée (oeufs deviennent omelette);69266;134284;4.880250258;45.764758013
Travaux du tram T6, mais comme la circulation des voitures est maintenue dans les deux sens, ce sont les cyclistes qui trinquent;69266;135939;4.880451389;45.76935297
Granfclement;69266;136952|155875;4.888649826;45.759028987
Travaux frequents;69123;158882;4.853687677;45.752904889
Dangereux avec aucune piste cyclable et des travaux;69266;135905;4.884813671;45.75805118
Toujours en travaux, trop de voitures, il n'y a pas de piste cyclable, traverser est très dangereux.;69266;176350;4.89056806;45.782886475
liaison entre Vaise et le bas de Tassin : aucun itinéraire complet. Un aménagement complet d'un coté et rien de l'autre.;69081;180538;4.792159828;45.773267097
"";69040;162326;4.792737004;45.794645612
Carrefour compliqué à Vélo;69081;170044;4.769502493;45.766476329
Travaux et conduite dangereuse des automobilistes;69123;148414|182384;4.845257969;45.725939307
Tronçon fréquenté sans bande cyclable (entre rue du souvenir et avenue de Verdun. Vitesse des véhicules importante.;69081;180538;4.793656504;45.774607265
Gros trafic automobile rapide et intersections à franchir sans piste cyclable continue;69266;165198;4.908298577;45.7509591
;69123;135917;4.897220688;45.750341378
Travaux avec absence d'élairage la nuit;69266;135941;4.872578372;45.779058778
Rond point très dangereux;69029;165198;4.93225732;45.744023078
Roule vite;69199;148423|182687;4.847631481;45.710343775
;69029;165198;4.932192736;45.744157055
les pistes cyclables sont délimités par des énormes blocs de béton qui sont déplacés par des artisans qui se garent la journée, non remis également le soir, et qui coupent la pise cyclable en 2. circulation dangereuse à mi parcours, avec obstacle obliger de retourner sur la route;69123;153300;4.789662721;45.78953814
Ces deux rues à cause des travaux, on ne sait pas bien dans sens on a le droit de circuler, si on va croiser des véhicules en contre sens, s'il y a une continuité et qu'on devra faire demi tour;69266;134284;4.880202371;45.768289153
"";69266;135907;4.880727356;45.761580564
Travaux avenue Félix Faure;69123;158882;4.856728194;45.753322946
aucune voie cyclabes;69256;170406;4.917938396;45.777856556
"";69123;148422;4.840610152;45.725601902
"";69123;158882;4.854641288;45.753067858
"";69123;158882;4.852747327;45.752851863
Travaux en cours, route fermé;69266;158882|160582;4.876152177;45.755533294
Travaux en cours, route non praticable à vélo;69266;136952|155875;4.888597826;45.759092718
Des travaux très lourd pour le tram. Rien de prévu pour les vélos. Situation assez compliqué sur un axe assez stratégique dans le quartier pour piétons et vélos;69266;134284;4.880273137;45.767105708
;69040;162326;4.785360827;45.801567432
Travaux;69123;179810;4.867659021;45.744832301
Travaux du futur tramway en cours, aucun aménagement pour les cyclistes et pietons qui se retrouvent littéralement coincés ou devant faire un détour important.... ou marcher/rouler sur la route comme de nombreuses personnes le font.;69259;182402;4.887464459;45.703095499
La déviation change constamment et pousse souvent le cycliste devant les automobilistes impatients.;69256;164075|172093;4.907903166;45.780715658
Il manque un accès convenable vers la piste cyclable de l'avenue V Hugo: pas d'aménagement dans la rue Marietton et pas de possibilité de prendre à contre sens la rue du Bourbonnais;69244;180538;4.7923649;45.773334154
rond point équipé d'un marquage au sol en périphérie, à l'opposé des recommandations de la métropole. Incroyable ment irresponsable de la part du responsable de ce marquage;69040;162326;4.785468129;45.801621108
;69123;185682;4.807312781;45.776898922
Grande rue de St Fons;69199;158717;4.856597783;45.705396904
Tout est en travaux et aucune piste cyclable pour rejoindre Hôtel de Ville;69256;97401|164075;4.911376441;45.784945508
Chantier du tram avec absence de signalisation, de séparation des flux, chaussée dangereuse;69266;135907;4.880741855;45.760134628
"";69199;158717;4.856472163;45.700328602
voiture qui arrivent rapidement;69123;185682;4.800717463;45.78305312
Travaux interminables avenue Félix faure;69123;158882;4.85790615;45.753430943
"";69266;135904|136952|155875;4.89051001;45.759376121
"";69266;134284;4.880355281;45.765004527
Difficile de tourner à gauche de l’avenue des frères lumière, vers la rue Antoine Lumiere;69123;179810;4.870511434;45.7440958
en travaux depuis longtemps (1 an +), cette rue est super dangereuse avec un contresens cycliste;69123;158882;4.85614103;45.753284951
Pas d itinéraire cyclable pendant les travaux;69266;136952|155875;4.888159643;45.758997031
Avenue Félix Faure est devenue dangeureuse avec ces travaux qui s'éternisent;69123;158882;4.865347499;45.754445666
Une des rares fois où je suis tombé. Je cherchais mon chemin pour regagner la piste cyclable des quais. Des travaux, des voitures qui roulent vite et je cherchais mon chemin. Bilan je n'ai pas vu un rail de tramway et ma roue s'est prise dedans;69123;181612;4.823611978;45.731632294
Zone en travaux qui entraîne bcp de tension. Stop (ligne jaune) jamais respectée à la jonction de la piste cyclable temporaire et la voix des voitures (direction Paul kruger);69266;135917;4.898377081;45.753023966
"À ces carrefours (comme beaucoup d'autres à Lyon), il y a plusieurs angles droits pour tourner sur une autre piste cyclable, ce qui est impossible à franchir à vélo. Il faut rouler très lentement et s'arrêter si des vélos arrivent. Cela implique parfois d'attendre sur la chaussée.
Comme j'ai dit, il y a beaucoup d'endroits où nous sommes censés faire un angle droit; comme c'est dangereux, nous passons parfois hors de la piste cyclable, ce qui énerve les automobilistes encore plus...";69123;185682;4.807584902;45.776928698
travaux absolument insupportables depuis 2 ans, sans aucun passage pour les vélos qui sont nombreux à venir des quais et se retrouvent soit obligés de contourner en descendant du vélo, soit de se mettre dans la circulation atroce sur ce gros carrefour;69123;181612;4.82382422;45.731553036
Absence de voie cyclable, voie  en sens unique sans accès vélo à contre sens;69123;180538;4.794464984;45.773604808
route en travaux;69029;165198;4.922996392;45.747318089
les travaux ont rendu cette avenue extrémement dangereuse pour les vélo avec peu d'aménagement pour la sécurité des cycles le temps des travaux (je suis douvennt obligé de decendre et continuer a pied sur les troitoirs en sécurité);69123;158882;4.869114681;45.75478176
Travaux en cours. Piste cycliste, travaux et voitures : zone accidentogene;69123;181612;4.828877948;45.726466626
Absente de piste lorsqu'on remonte la rue Mariette puis il faut couper la voie pour rejoindre la piste de l'autre côté. Puis la piste est mal marquée et les piétons sont souvent dessus ce qui peut être dangereux dans le sens tassin Lyon 9 car avec la descente , la vitesse,  les sorties de la station d autolavage et des boutiques , cela devient périlleux;69244;180538;4.792395476;45.773423172
Route accidentée, travaux, voitures dangeureuses pour les autres usagers;69266;136952|155875;4.888408891;45.759178446
Travaux du T3 : piste cyclable parfois encombrée de véhicules, très fréquentée par beaucoup d’usagers, voies étroites, des pâtés de goudron sur la piste cyclable qui deviennent des obstacles et entraînent un risque de chute;69266;135904;4.89176824;45.755642259
;69259;182402;4.887564192;45.703213447
;69123;179810;4.871250679;45.745529727
"";69266;155875;4.889776785;45.759384412
"";69123;158882|160582;4.87620262;45.75575766
"De manière générale, la rue Marietton dans son ensemble est un désastre. La circulation automobile y est dense alors qu'elle accueille aussi des flux piétons et vélo nombreux. La rue est étroite sans aucun aménagement, et comme elle est souvent embouteillée, les automobilistes sont très peu patients, accélèrent brutalement, ou encombrent les carrefours au feu rouge.
Plus précisément, le carrefour avec le boulevard de la Duchère est un océan d'asphalte alors qu'il donne accès au parc du Vallon.";69081;180538;4.794952394;45.775632999
les travaux sont longs et il n'y a pas trop de sécurité. Je passe par là pour aller au travail et je n'autorise pas mon fils à aller en vélo au Campus numérique car c'est encore très confus.;69044;177583;4.748804733;45.78509171
Travaux et irrespect des motorisés;69266;135904;4.890419573;45.758877581
Zone de travaux qui s'étend sur plusieurs carrefours, sans itinéraire sûr et sécurisé pour les vélos.;69123;158882;4.866586507;45.75455053
Pas d'aménagement cyclable en haut de la montée Roy, chaussée étroite, on est coincé au milieu des voitures et bus.;69088;177464;4.862970278;45.815798401
piste cyclable impossible à prendre dans a direction totem-grand clément avec file de voitures ininterrompu: piste cyclable sur la voie des voitures: il faudrait la mettre sur la voie des bus dans les 2 sens;69266;155875;4.889131143;45.759630409
travaux très gênant;69123;158882;4.858327588;45.753504533
Aucun aménagement provisoire n'a vraiment été prévu pour les vélos le temps des travaux du tramway;69123;181612;4.824176223;45.731685099
travaux partout, revêtement avec des trous, signalisation inexistante;69266;158882;4.879899918;45.754779534
"";69123;158882;4.863402332;45.754111065
"";69081;180538;4.794650348;45.775378573
Travaux du tram;69123;181612;4.830434775;45.726436561
;69199;148425|182685;4.856155084;45.708323598
Aucun aménagement alors que beaucoup de cyclistes rejoignent la piste qui monte vers Tassin après le Valvert;69123;180538;4.794423901;45.774868047
;69116;162326;4.766604009;45.821369278
;69040;162326;4.78711398;45.800053565
"";69040;162326;4.786338963;45.799593986
Accès difficile;69266;136952|155875;4.885887713;45.758402283
"";69040;162326;4.785617878;45.801431376
"";69123;158882|160582;4.876176036;45.755688977
la rue est en travaux depuis 1 an, il y a des trous de partout et les automobilistes rasent les cyclistes très vite alors que c'est limité à 30 mn/h;69123;158882;4.871077011;45.754972352
les travaux ne permettent plus de circuler;69266;134284;4.880324073;45.765085599
"";69266;174909;4.906588669;45.780479557
Travaux tram;69256;170406;4.917784206;45.778109545
;69040;162326;4.787037701;45.800158484
Travaux Tramway 10;69259;182402;4.887542947;45.703101629
"";69040;162326;4.786104641;45.800839391
;69123;160782;4.852715037;45.757023762
De la rue du Bourbonnais, je ne sais comment rejoindre la piste cyclable de l'avenue Victor Hugo qui monte jusqu'à Tassin l'horloge;69123;180538;4.792663917;45.773514732
"A voir une fois les aménagements terminé.
Aujourd'hui pas de piste cyclable, voie partagée avec les bus, très souvent non respecté par les automobilistes";69256;165198;4.918072932;45.748561479
travaux;69123;158882;4.871089482;45.755076494
travaux;69123;158882;4.853320956;45.752958301
manque voie cyclable protégée > route dangeureuse;69029;165198;4.925761904;45.7463585
"";69123;158882;4.866700392;45.754485123
;69266;135904;4.890912173;45.758101253
"";69081;170044;4.769279061;45.76649719
Traffic totalement désorganisé et beaucoup trop de véhicules;69123;184053;4.858076503;45.761205701
Travaux sur la rue Félix Faure;69123;158882;4.856011355;45.753255445
Pour traverser le boulevard Vivier merle.;69123;158882;4.859393416;45.753646683
Toute la portion de la route de Genas, notamment lors de travaux ++;69029;165198;4.928672912;45.745348118
une partie de l'avenue salengro sans piste cyclable. les automobilistes doublent très/trop proche.;69266;135922;4.874060546;45.776577477
;69202;166233;4.805072168;45.736366572
;69256;97401|164075;4.910107668;45.779860145
"";69266;155875;4.889272317;45.759466813
Travaux;69266;134284;4.880715838;45.764770678
dû mal à me rappeler ce que c'était avat les travaux sur Félix faure, dans sa globalité aussi;69123;158882;4.85704503;45.753388331
la piste cyclable traverse une grande route avec beaucoup de circulation;69244;180538;4.792330103;45.773231081
Les travaux de la rue Jean Jaurès;69266;135905;4.883169318;45.757731561
"";69123;158882;4.861426809;45.75383258
Travaux du tram T6;69266;135904;4.890767779;45.757871146
Toute l'avenue est en travaux en ce moment. Les voies sont très réduites par endroit.;69123;158882;4.871319507;45.755118476
la part dieu;69123;158882;4.860401421;45.753748307
Travaux importants;69123;179810;4.865610036;45.745376912
Carrefour sans piste cyclable;69123;185682;4.80767317;45.776486001
Aucune piste cyclable;69123;180538;4.793614903;45.774471878
;69266;135922;4.8739809;45.776501524
;69266;135939;4.880471165;45.769426377
Croisement dangereux;69199;148425|182685|182686;4.855289524;45.708507029
Automobilistes et motards dangereux;69256;97401|164075;4.914339132;45.779707237
En travaux depuis un long moment, avec une grosse problématique de respect dans la zone de la part des véhicules motorisés (vitesse excessive, feux rouges, priorité).C'est difficile en vélo mais c'est aussi très compliqué pour les piétons;69123;158882;4.859387349;45.75365077
Toute la route de genas, l'endroit le plus dangeureux pour un vélo...peut etre juste apres le periphérique.... et en travaux depuis des années sans aucune amélioration. Aucun balisage clair pendant les travaux.;69256;165198;4.928203814;45.745560132
;69259;182403;4.877244697;45.705705636
"";69266;155875;4.889916131;45.759458346
Du à des travaux qui durent Félix Faure est dangereuse pour les cyclistes ! Surtout en la remontant;69123;158882;4.870580057;45.754949692
Travaux;69123;158882;4.859338346;45.753597467
Route en mauvais état, pas de pistes cyclables;69259;182404;4.878701921;45.706201242
travaux;69266;158882;4.885219747;45.754346108
travaux;69266;158882;4.87950525;45.754841671
Travaux sans marquage;69266;135939;4.879283459;45.771747043
"";69040;153300;4.790374953;45.790762712
"";69256;170407;4.91641213;45.778499475
Travaux;69266;135939;4.879309035;45.771782912
Travaux;69123;158882;4.857222839;45.753503377
"";69123;158882;4.866836947;45.754585089
rue du bourbonnais ne peut pas être prise à contre sens à vélo et il n'sxiste aucun itinéraire alternatif pour rejoindre Tassin. Conséquence : les cyclistes prennent les trottoirs ou roulent à contre-sens ce qui est très dangereux.;69244;180538;4.792574146;45.773405572
C'est entrain d'être résolu avec la voie lyonnaise et c'est tant mieux : arrivé au bout de la rue Marietton pour sortir de Lyon on ne savait pas trop comment rejoindre la piste cyclable Avenue Victor Hugo qui descend de Tassin...;69244;180538;4.791874206;45.772920473
"";69029;165198;4.927707691;45.745719975
Aucun effort d'aménagement;69123;158882;4.855369571;45.753162751
"";69029;165198;4.908454448;45.750813455
"";69123;158882|160582;4.87617924;45.755768074
Travaux Tram;69266;135904;4.891103439;45.75576861
toute l'avenue en travaux depuis des mois;69123;158882;4.871440393;45.755011498
La montée est raide, un accotement spécial vélo serait le bienvenu;69266;135905|155875;4.884991304;45.758348398
"";69123;180538;4.793488762;45.774247661
travaux de voirie depuis plusieurs mois;69123;181612;4.824069186;45.73158478
"";69256;170406;4.917640472;45.778132974
"Absence de piste cyclable.
Obligation de remonter à contre sens sur la route";69123;180538;4.793094251;45.773570553
Vitesse élevé, voiture qui dépasse sans respecter les distances de sécurité, insulte ...;69244;177583;4.754292724;45.771038717
La circulation à vélo est extrêmement dangereuse dans le sens Vaise > Tassin à cause de l'absence, la discontinuité voire le non-sens des aménagements cyclables.;69244;180538;4.792290901;45.773296229
Au-delà des travaux actuels, angle felix faure / Lacssagne toujours très dangereux,  vitesses excessives.;69123;158882;4.866957909;45.754585706
en raison des travaux et des trous sur la route;69123;158882;4.854103775;45.753072861
;69123;160782;4.852818641;45.757022516
Impossible de ne pas utiliser le trottoir!;69123;158882;4.861667766;45.753865687
;69266;135904;4.89106028;45.755660255
"Route de Genas avec les travaux, les bouchons qui impatientent les conducteurs, partage de la voie avec les voitures.
Même en vélo, on n'arrive pas à circuler sans bouchonner.";69256;165198;4.920839945;45.748141096
"Très chouette ici mais je suis tout le temps sur la voie de bus pour être en sécurité. 
Je fais plus confiance aux agent·e·s TCL qu'aux autres conducteur·rices";69266;134284|135907;4.880587416;45.76200005
