insee,latitude,longitude,description,categorie_detectee,score_urgence,score_facilite,niveau_facilite_label
69266,45.755924152,4.891199387,Travaux tramway,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.776880423,4.876612433,Travaux tramway,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.748658775,4.916086362,avec les travaux il n'y a plus de piste cyclable,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69029,45.751746241,4.904017927,"route trop étroite, circulation, travaux",Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.74538403,4.865445807,Travaux sur l’avenue des freres lumière,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.755202272,4.872670179,Dangereux à cause des travaux ; portion cyclable inexistante dans un sens,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.745010121,4.866473205,Travaux rendant impraticable l'avenue,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.753297558,4.856160485,circulation très dangereuse pendant la réalisation des travaux sur l'avenue Félix Faure,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.759226508,4.888932128,Travaux,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.75284071,4.898926695,Travaux,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.753181682,4.85575834,toute l'avenue pendant les travaux,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.754293146,4.864228482,travaux,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.752983938,4.853441105,travaux,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.728096091,4.824099216,Partout où il y a des travaux,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.769397487,4.880435313,Manque une vraie piste cyclable sécurisée. Voiture roule vite. Beaucoup de monde et de travaux.,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.754288336,4.864442385,Travaux du bhns,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.753745676,4.859469482,Travaux voies lyonnaises + BHNS,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.753423964,4.856786618,Travaux BHNS,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.759541412,4.88974296,"Travaux du tram T6, impossible de circuler en vélo",Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.753488759,4.856862595,Trop de travaux,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69199,45.708164436,4.857192725,Travaux et rue étroite,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.746614647,4.860985304,trop de travaux et pas d'amenagement velo,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.726419171,4.835612648,Travaux en cours et carrefour dangereux: voitures sur les 2 voies,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.754153734,4.863513727,Travaux non stop depuis 2 ans,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69044,45.77919124,4.751043033,Travaux du a l'installation de la voie lyonnaise. Mais vitesse des motorisés excessive,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.759717994,4.889729443,Travaux longue durée = accident avec voiture,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69199,45.709568725,4.851466786,Beaucoup de travaux,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.744926075,4.86687442,"Avec les travaux qui durent depuis un moment, l'Avenue des Frères Lumière est devenue difficilement empruntable.",Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.753055416,4.854242656,Actuellement à cause des travaux : passage dangereux,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.754599703,4.866903613,Circulation infernale avec les travaux,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.726515664,4.833991657,Les travaux ont rendue l’avenue très dangereuse pour les vélos. Très peu d’aménagement y compris pour les piétons.,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.753405673,4.8568301,Travaux interminables dans cette rue,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69199,45.708058821,4.858651193,"Travaux tram, stationnement anarchique voitures, vitesse excessive 2 roues motorisés et voitures",Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.753061057,4.854329188,Toutes les intersections ainsi que la rue dans son intégralité sont très dangeureuses depuis le début des travaux pour les mobilités douces (plus d'un an déjà et ce n'est pas fini),Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.753612411,4.859056643,Des travaux partout. Les piétons n'ont pas de trottoir ils se retrouvent donc sur la piste cyclable qui est à contresens des voitures donc idem pour les vélos. C'est dangereux si on veut pouvoir les dépasser car on se retrouve à contres sens des voitures sans aménagements cyclables. Encore une fois la piste cyclable s'arrête face à une barrière de travaux on est obligés d'aller sur le même chemin que les piétons donc pas pratique. Et très dangereux le contre sens car les voitures roulent vite.,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69244,45.773139051,4.792160822,"Pour aller vers la Tassin, hyper dangereux de changer de route pour aller sur la piste cyclables. J'ai vu que des travaux étaient en cours. J'espère que cela nous aidera.",Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.754812421,4.868929709,travaux en cours depuis de longs mois,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69256,45.777166365,4.920037701,travaux avec pas de solution pour les vélos,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69029,45.752816925,4.898612875,Les travaux ont coupé l'itinéraire cyclable sans alternatives claires.,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.75355298,4.858392802,"Avenue Félix Faure en travaux, nombreux conflits avec les automobilistes",Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.782887421,4.890738339,"Rond point chiant, quand on arrive de Salengro et qu'on veut rejoindre la poste cyclable qui part au parc c'est compliqué, mais il y a des travaux, je pense que ça va changer",Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.763275982,4.880557878,"Toute la rue et le secteur en travaux, c'est nimp une voie éclatée (pour permettre le passage du tram et autres travaux de réfection de canalisations) qui peut, selon les panneaux, être remontée en contre sens à vélo mais est vraiment dangereuse. Surtout de nuit. La signalétique est pas claire",Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.752987574,4.853483824,Croisement difficile avec les voitures avec les travaux,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.770491206,4.880362848,"Travaux, graviers...",Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.75467971,4.880410126,Toute la rue : travaux en cours et absence de mesures pour les vélos,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.754378424,4.864902787,Travaux,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.753366921,4.856725137,Travaux,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.755926073,4.892857589,"La nuit, la piste cyclable au niveau de la gare de Tram de Villeurbanne n’est pas eclairée depuis plus d’un an. J’ai déjà fait un ticket a la métropole mais rien n’a changé. Ils sont en travaux depuis super longtemps. Et ils sont incapable d’eclairer cette zone la nuit pendant les travaux. C’est super dangereux la nuit car il y a une zone de melange entre usagers du Tram et cyclistes/trottinettes.",Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.753210695,4.855614934,Avenue Félix Faure (travaux extrêmement longs et pistes cyclables temporaires pénibles),Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.764758013,4.880250258,Travaux en cours et mauvaise communication+ voirie défoncée (oeufs deviennent omelette),Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.76935297,4.880451389,"Travaux du tram T6, mais comme la circulation des voitures est maintenue dans les deux sens, ce sont les cyclistes qui trinquent",Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.752904889,4.853687677,Travaux frequents,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.75805118,4.884813671,Dangereux avec aucune piste cyclable et des travaux,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.782886475,4.89056806,"Toujours en travaux, trop de voitures, il n'y a pas de piste cyclable, traverser est très dangereux.",Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.725939307,4.845257969,Travaux et conduite dangereuse des automobilistes,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.779058778,4.872578372,Travaux avec absence d'élairage la nuit,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.768289153,4.880202371,"Ces deux rues à cause des travaux, on ne sait pas bien dans sens on a le droit de circuler, si on va croiser des véhicules en contre sens, s'il y a une continuité et qu'on devra faire demi tour",Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.753322946,4.856728194,Travaux avenue Félix Faure,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.755533294,4.876152177,"Travaux en cours, route fermé",Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.759092718,4.888597826,"Travaux en cours, route non praticable à vélo",Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.767105708,4.880273137,Des travaux très lourd pour le tram. Rien de prévu pour les vélos. Situation assez compliqué sur un axe assez stratégique dans le quartier pour piétons et vélos,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.744832301,4.867659021,Travaux,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69259,45.703095499,4.887464459,"Travaux du futur tramway en cours, aucun aménagement pour les cyclistes et pietons qui se retrouvent littéralement coincés ou devant faire un détour important.... ou marcher/rouler sur la route comme de nombreuses personnes le font.",Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69256,45.784945508,4.911376441,Tout est en travaux et aucune piste cyclable pour rejoindre Hôtel de Ville,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.760134628,4.880741855,"Chantier du tram avec absence de signalisation, de séparation des flux, chaussée dangereuse",Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.753430943,4.85790615,Travaux interminables avenue Félix faure,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.753284951,4.85614103,"en travaux depuis longtemps (1 an +), cette rue est super dangereuse avec un contresens cycliste",Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.758997031,4.888159643,Pas d itinéraire cyclable pendant les travaux,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.754445666,4.865347499,Avenue Félix Faure est devenue dangeureuse avec ces travaux qui s'éternisent,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.731632294,4.823611978,"Une des rares fois où je suis tombé. Je cherchais mon chemin pour regagner la piste cyclable des quais. Des travaux, des voitures qui roulent vite et je cherchais mon chemin. Bilan je n'ai pas vu un rail de tramway et ma roue s'est prise dedans",Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.753023966,4.898377081,Zone en travaux qui entraîne bcp de tension. Stop (ligne jaune) jamais respectée à la jonction de la piste cyclable temporaire et la voix des voitures (direction Paul kruger),Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.731553036,4.82382422,"travaux absolument insupportables depuis 2 ans, sans aucun passage pour les vélos qui sont nombreux à venir des quais et se retrouvent soit obligés de contourner en descendant du vélo, soit de se mettre dans la circulation atroce sur ce gros carrefour",Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69029,45.747318089,4.922996392,route en travaux,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.75478176,4.869114681,les travaux ont rendu cette avenue extrémement dangereuse pour les vélo avec peu d'aménagement pour la sécurité des cycles le temps des travaux (je suis douvennt obligé de decendre et continuer a pied sur les troitoirs en sécurité),Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.726466626,4.828877948,"Travaux en cours. Piste cycliste, travaux et voitures : zone accidentogene",Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.759178446,4.888408891,"Route accidentée, travaux, voitures dangeureuses pour les autres usagers",Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.755642259,4.89176824,"Travaux du T3 : piste cyclable parfois encombrée de véhicules, très fréquentée par beaucoup d’usagers, voies étroites, des pâtés de goudron sur la piste cyclable qui deviennent des obstacles et entraînent un risque de chute",Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69044,45.78509171,4.748804733,les travaux sont longs et il n'y a pas trop de sécurité. Je passe par là pour aller au travail et je n'autorise pas mon fils à aller en vélo au Campus numérique car c'est encore très confus.,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.758877581,4.890419573,Travaux et irrespect des motorisés,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.75455053,4.866586507,"Zone de travaux qui s'étend sur plusieurs carrefours, sans itinéraire sûr et sécurisé pour les vélos.",Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.753504533,4.858327588,travaux très gênant,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.731685099,4.824176223,Aucun aménagement provisoire n'a vraiment été prévu pour les vélos le temps des travaux du tramway,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.754779534,4.879899918,"travaux partout, revêtement avec des trous, signalisation inexistante",Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.726436561,4.830434775,Travaux du tram,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.754972352,4.871077011,"la rue est en travaux depuis 1 an, il y a des trous de partout et les automobilistes rasent les cyclistes très vite alors que c'est limité à 30 mn/h",Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.765085599,4.880324073,les travaux ne permettent plus de circuler,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69256,45.778109545,4.917784206,Travaux tram,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69259,45.703101629,4.887542947,Travaux Tramway 10,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.755076494,4.871089482,travaux,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.752958301,4.853320956,travaux,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.753255445,4.856011355,Travaux sur la rue Félix Faure,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69029,45.745348118,4.928672912,"Toute la portion de la route de Genas, notamment lors de travaux ++",Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.764770678,4.880715838,Travaux,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.753388331,4.85704503,"dû mal à me rappeler ce que c'était avat les travaux sur Félix faure, dans sa globalité aussi",Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.757731561,4.883169318,Les travaux de la rue Jean Jaurès,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.757871146,4.890767779,Travaux du tram T6,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.755118476,4.871319507,Toute l'avenue est en travaux en ce moment. Les voies sont très réduites par endroit.,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.745376912,4.865610036,Travaux importants,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.75365077,4.859387349,"En travaux depuis un long moment, avec une grosse problématique de respect dans la zone de la part des véhicules motorisés (vitesse excessive, feux rouges, priorité).C'est difficile en vélo mais c'est aussi très compliqué pour les piétons",Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69256,45.745560132,4.928203814,"Toute la route de genas, l'endroit le plus dangeureux pour un vélo...peut etre juste apres le periphérique.... et en travaux depuis des années sans aucune amélioration. Aucun balisage clair pendant les travaux.",Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.754949692,4.870580057,Du à des travaux qui durent Félix Faure est dangereuse pour les cyclistes ! Surtout en la remontant,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.753597467,4.859338346,Travaux,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.754346108,4.885219747,travaux,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.754841671,4.87950525,travaux,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.771747043,4.879283459,Travaux sans marquage,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.771782912,4.879309035,Travaux,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.753503377,4.857222839,Travaux,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69266,45.75576861,4.891103439,Travaux Tram,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.755011498,4.871440393,toute l'avenue en travaux depuis des mois,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.73158478,4.824069186,travaux de voirie depuis plusieurs mois,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.754585706,4.866957909,"Au-delà des travaux actuels, angle felix faure / Lacssagne toujours très dangereux,  vitesses excessives.",Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69123,45.753072861,4.854103775,en raison des travaux et des trous sur la route,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
69256,45.748141096,4.920839945,"Route de Genas avec les travaux, les bouchons qui impatientent les conducteurs, partage de la voie avec les voitures.
Même en vélo, on n'arrive pas à circuler sans bouchonner.",Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
